Board_FEN, Best_Move
r1bqkb1r/pp1nppp1/2p2n1p/3p4/2P5/2N1PN2/PP1PBPPP/R1BQK2R w KQkq - 0 6,e1g1
r1bqkb1r/pp1nppp1/2p2n1p/3p4/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 b kq - 1 6,e7e5
r1bqkb1r/pp1n1pp1/2p2n1p/3pp3/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 w kq - 0 7,c4d5
r1bqkb1r/pp1n1pp1/2p2n1p/3Pp3/8/2N1PN2/PP1PBPPP/R1BQ1RK1 b kq - 0 7,c6d5
r1bqkb1r/pp1n1pp1/5n1p/3pp3/8/2N1PN2/PP1PBPPP/R1BQ1RK1 w kq - 0 8,d2d3
r1bqkb1r/pp1n1pp1/5n1p/3pp3/8/2NPPN2/PP2BPPP/R1BQ1RK1 b kq - 0 8,a7a6
r1bqkb1r/1p1n1pp1/p4n1p/3pp3/8/2NPPN2/PP2BPPP/R1BQ1RK1 w kq - 0 9,b2b3
r1bqkb1r/1p1n1pp1/p4n1p/3pp3/8/1PNPPN2/P3BPPP/R1BQ1RK1 b kq - 0 9,f8d6
r1bqk2r/1p1n1pp1/p2b1n1p/3pp3/8/1PNPPN2/P3BPPP/R1BQ1RK1 w kq - 1 10,c1b2
r1bqk2r/1p1n1pp1/p2b1n1p/3pp3/8/1PNPPN2/PB2BPPP/R2Q1RK1 b kq - 2 10,e8g8
r1bq1rk1/1p1n1pp1/p2b1n1p/3pp3/8/1PNPPN2/PB2BPPP/R2Q1RK1 w - - 3 11,a1b1
r1bq1rk1/1p1n1pp1/p2b1n1p/3pp3/8/1PNPPN2/PB2BPPP/1R1Q1RK1 b - - 4 11,b7b5
r1bq1rk1/3n1pp1/p2b1n1p/1p1pp3/8/1PNPPN2/PB2BPPP/1R1Q1RK1 w - - 0 12,d1d2
r1bq1rk1/3n1pp1/p2b1n1p/1p1pp3/8/1PNPPN2/PB1QBPPP/1R3RK1 b - - 1 12,d7c5
r1bq1rk1/5pp1/p2b1n1p/1pnpp3/8/1PNPPN2/PB1QBPPP/1R3RK1 w - - 2 13,f3e5
r1bq1rk1/5pp1/p2b1n1p/1pnpN3/8/1PNPP3/PB1QBPPP/1R3RK1 b - - 0 13,d6e5
r1bq1rk1/5pp1/p4n1p/1pnpb3/8/1PNPP3/PB1QBPPP/1R3RK1 w - - 0 14,d3d4
